1;RAJABASA
2;TANJUNG SENANG
3;LABUHAN RATU
4;SUKARAME
5;KEDATON
6;KEMILLING
7;LANGKAPURA
8;TANJUNG KARANG BARAT
9;TANJUNG KARANG PUSAT
10;TELUK BETUNG UTARA
11;TELUK BETUNG BARAT
12;TELUK BETUNG TIMUR
13;BUMI WARAS
14;ENGGAL
15;TANJUNG KARANG TIMUR
16;WAY HALIM
17;KEDAMAIAN
18;TELUK BETUNG SELATAN
19;PANJANG
20;SUKABUMI
