1;50710
2;48333
3;47347
4;60101
5;51795
6;69303
7;35839
8;57765
9;53982
10;53423
11;31461
12;43791
13;59912
14;29655
15;39183
16;64390
17;55533
18;41550
19;78456
20;60554
